order_id,customer_id,week,n_meals,box_price_nok,delivered_on_time
1,76,0,3,322.0,True
2,142,0,5,498.0,False
3,151,0,3,296.0,True
4,155,0,3,288.0,True
5,229,0,4,414.0,True
6,302,0,4,382.0,True
7,358,0,3,301.0,True
8,414,0,5,488.0,True
9,436,0,5,492.0,True
10,471,0,4,379.0,False
11,521,0,5,515.0,True
12,527,0,3,295.0,True
13,591,0,5,477.0,True
14,642,0,3,308.0,True
15,741,0,3,293.0,True
16,747,0,5,500.0,True
17,754,0,5,507.0,True
18,893,0,3,301.0,False
19,918,0,3,277.0,True
20,926,0,3,303.0,True
21,984,0,4,395.0,True
22,1006,0,5,490.0,True
23,1064,0,4,395.0,False
24,1067,0,4,377.0,True
25,1135,0,5,498.0,True
26,1205,0,4,380.0,True
27,1212,0,3,294.0,True
28,1227,0,3,298.0,True
29,1363,0,4,409.0,True
30,1489,0,5,483.0,True
31,1517,0,4,413.0,True
32,1581,0,4,407.0,True
33,1585,0,4,391.0,True
34,1599,0,5,479.0,True
35,1602,0,5,474.0,True
36,1610,0,3,299.0,True
37,1721,0,5,484.0,True
38,1727,0,4,410.0,False
39,1735,0,4,388.0,True
40,1754,0,3,289.0,True
41,1758,0,4,399.0,True
42,1969,0,3,291.0,True
43,1989,0,5,495.0,True
44,76,1,3,303.0,True
45,107,1,3,310.0,True
46,142,1,5,516.0,True
47,155,1,3,302.0,True
48,219,1,4,392.0,True
49,229,1,4,379.0,True
50,268,1,5,498.0,True
51,279,1,5,511.0,True
52,293,1,4,400.0,True
53,302,1,4,355.0,True
54,352,1,4,406.0,True
55,359,1,5,509.0,True
56,369,1,5,491.0,True
57,384,1,4,408.0,True
58,414,1,5,504.0,True
59,436,1,5,485.0,False
60,445,1,5,514.0,True
61,471,1,4,381.0,True
62,510,1,5,494.0,True
63,520,1,4,394.0,True
64,527,1,3,290.0,True
65,564,1,3,300.0,True
66,565,1,5,514.0,True
67,573,1,4,411.0,True
68,577,1,3,303.0,True
69,591,1,5,470.0,True
70,616,1,4,380.0,False
71,642,1,3,298.0,True
72,666,1,5,494.0,True
73,706,1,3,293.0,True
74,707,1,4,419.0,True
75,741,1,3,298.0,True
76,744,1,3,302.0,True
77,754,1,5,510.0,True
78,761,1,5,496.0,True
79,788,1,3,320.0,True
80,886,1,3,289.0,True
81,893,1,3,292.0,True
82,901,1,4,385.0,True
83,908,1,5,518.0,True
84,917,1,3,304.0,True
85,918,1,3,292.0,False
86,984,1,4,386.0,True
87,1006,1,5,516.0,True
88,1011,1,5,500.0,True
89,1064,1,4,413.0,True
90,1065,1,4,395.0,True
91,1067,1,4,402.0,True
92,1135,1,5,499.0,True
93,1161,1,4,389.0,True
94,1190,1,3,296.0,True
95,1205,1,4,382.0,True
96,1212,1,3,301.0,False
97,1227,1,3,304.0,True
98,1284,1,5,510.0,True
99,1347,1,4,404.0,True
100,1363,1,4,394.0,True
101,1382,1,5,518.0,True
102,1398,1,4,407.0,True
103,1399,1,5,516.0,True
104,1489,1,5,517.0,True
105,1517,1,4,395.0,True
106,1581,1,4,401.0,True
107,1585,1,4,405.0,True
108,1586,1,5,478.0,True
109,1599,1,5,478.0,True
110,1602,1,5,476.0,True
111,1610,1,3,296.0,False
112,1648,1,5,490.0,True
113,1676,1,3,284.0,True
114,1689,1,5,497.0,False
115,1721,1,5,494.0,True
116,1724,1,4,410.0,True
117,1727,1,4,420.0,True
118,1735,1,4,401.0,False
119,1754,1,3,291.0,True
120,1758,1,4,404.0,True
121,1772,1,3,297.0,True
122,1795,1,4,393.0,True
123,1868,1,5,482.0,True
